date,block_number,token_address,token_name,token_decimals,balance,timestamp,price,balance_usd,token_amount,balance_eth,escrow_address,escrow_address_rdbl
2021-04-14,12241311,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,14064113.463362,2021-04-14,1.0018378460119504,14089961.138202256,14064113463362.0,1.4064113463362005e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-15,12247811,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,14716961.76793,2021-04-15,0.9990365764679566,14702783.100642595,14716961767930.0,1.4716961767929999e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-16,12254244,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,15200843.956063,2021-04-16,0.9994695014077912,15192779.929743925,15200843956063.0,1.5200843956063e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-17,12260711,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,15046130.727289002,2021-04-17,0.9979920703533244,15015919.15533392,15046130727289.002,1.5046130727289004e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-18,12267212,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,16553944.021871,2021-04-18,1.0011154849080317,16572409.696595795,16553944021871.0,1.6553944021871002e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-19,12273612,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,16517723.019469,2021-04-19,0.9992245654637476,16504914.606579453,16517723019469.0,1.6517723019469e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-20,12280192,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,16875163.345027998,2021-04-20,1.0025643523044798,16918437.209040295,16875163345027.998,1.6875163345027998e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-21,12286711,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,17504291.873564,2021-04-21,0.9928008909013596,17378276.56667177,17504291873564.002,1.7504291873564004e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-22,12293128,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,17818977.66334,2021-04-22,0.9994580385404276,17809320.464197487,17818977663340.0,1.7818977663340002e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-23,12299578,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,16203279.935481,2021-04-23,1.000940309948568,16218516.040803766,16203279935481.0,1.6203279935481002e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-24,12306078,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,16345664.847455,2021-04-24,0.9976099433632952,16306597.782704987,16345664847455.0,1.6345664847455e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-25,12312587,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,16489204.875059,2021-04-25,1.006837034508456,16601942.13780678,16489204875059.0,1.6489204875059e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-26,12319058,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,17518614.081654,2021-04-26,1.0005819083500431,17528808.309469298,17518614081654.002,1.7518614081654003e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-27,12325546,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,18142933.555293,2021-04-27,0.9988552511607478,18122164.453164946,18142933555293.0,1.8142933555293e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-28,12332009,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,19018181.488493,2021-04-28,0.9988524448695116,18996357.07675332,19018181488493.0,1.901818148849301e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-29,12338493,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,19207737.711569,2021-04-29,1.0023226198339985,19252349.984144133,19207737711569.0,1.9207737711569e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-04-30,12344944,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,19849143.257179,2021-04-30,0.9967485802654924,19784605.36107954,19849143257179.0,1.9849143257179e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-01,12351433,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,20140572.044433,2021-05-01,1.0006905208463999,20154479.529288106,20140572044433.0,2.0140572044433e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-02,12357851,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,20220779.640726,2021-05-02,0.9998496910345382,20217740.276257373,20220779640726.0,2.0220779640726e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-03,12364358,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,22215757.537274,2021-05-03,1.0031903432120783,22286633.42853422,22215757537274.0,2.2215757537274e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-04,12370862,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,24028038.180013,2021-05-04,1.0006373265826762,24043351.88747468,24028038180013.0,2.4028038180013002e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-05,12377380,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,23906653.41135101,2021-05-05,0.9992809438813868,23889463.185940005,23906653411351.01,2.390665341135101e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-06,12383846,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,24325978.979077,2021-05-06,0.999296700820132,24308870.53801153,24325978979077.0,2.4325978979077e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-07,12390293,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,27162457.361409,2021-05-07,0.9993544674361308,27144923.11066749,27162457361409.0,2.7162457361409e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-08,12396779,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,27978469.608543,2021-05-08,0.9994780222897854,27963865.471041426,27978469608543.0,2.7978469608543013e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-09,12403257,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,28095920.593277004,2021-05-09,0.9989813587349629,28067300.92918149,28095920593277.004,2.8095920593277002e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-10,12409774,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,28432144.319039,2021-05-10,0.9993365221993679,28413280.222458955,28432144319039.0,2.8432144319039e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-11,12416221,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,28591023.089971,2021-05-11,0.9993145905265785,28571426.53189032,28591023089971.0,2.8591023089971004e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-12,12422660,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,29452273.013271004,2021-05-12,0.9994605758359756,29436385.745522197,29452273013271.004,2.945227301327101e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-13,12429198,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,30973799.889078,2021-05-13,0.9955707883742714,30836610.374516305,30973799889078.0,3.0973799889078005e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-14,12435675,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,33319345.414186,2021-05-14,0.9993021747352956,33296094.33315257,33319345414186.0,3.3319345414186e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-15,12442149,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,33050736.651090004,2021-05-15,0.997860118638402,32980011.99574325,33050736651090.004,3.3050736651090005e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
2021-05-16,12448607,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,usd-coin,6,35241501.271373,2021-05-16,1.000132233887412,35246161.39208434,35241501271373.0,3.524150127137301e-05,0xD54f502e184B6B739d7D27a6410a67dc462D69c8,L2PerpetualContract
