date,block_number,token_address,token_name,token_decimals,token_balance
2022-01-04,13942121,ether,ethereum,18,376665.31656815973
2022-01-05,13948581,ether,ethereum,18,383027.36254501157
2022-01-06,13954973,ether,ethereum,18,387107.64945299
2022-01-07,13961396,ether,ethereum,18,390856.9432136859
2022-01-08,13967921,ether,ethereum,18,394658.8911170395
2022-01-09,13974426,ether,ethereum,18,396892.9859751261
2022-01-10,13980848,ether,ethereum,18,399592.07584754995
2022-01-11,13987375,ether,ethereum,18,401084.47242753004
2022-01-12,13993832,ether,ethereum,18,403198.1401957326
2022-01-13,14000270,ether,ethereum,18,412692.446954528
2022-01-14,14006709,ether,ethereum,18,418497.24226928054
2022-01-15,14013195,ether,ethereum,18,425111.18288781616
2022-01-16,14019699,ether,ethereum,18,427808.6791176566
2022-01-17,14026167,ether,ethereum,18,429846.636355328
2022-01-18,14032629,ether,ethereum,18,432423.8056989004
2022-01-19,14039102,ether,ethereum,18,434655.1983332707
2022-01-20,14045591,ether,ethereum,18,437389.75246249157
2022-01-21,14051984,ether,ethereum,18,440952.03391134634
2022-01-22,14058540,ether,ethereum,18,445874.01177831297
2022-01-23,14064996,ether,ethereum,18,450067.51366943534
2022-01-24,14071445,ether,ethereum,18,460002.15951539774
2022-01-25,14077905,ether,ethereum,18,478089.7543353944
2022-01-26,14084332,ether,ethereum,18,481302.664759908
2022-01-27,14090826,ether,ethereum,18,488704.5315227186
2022-01-28,14097298,ether,ethereum,18,493579.9597617874
2022-01-29,14103759,ether,ethereum,18,497866.4596628714
2022-01-30,14110298,ether,ethereum,18,521800.56320054556
2022-01-31,14116760,ether,ethereum,18,523355.17342431843
2022-02-01,14123261,ether,ethereum,18,524654.512382771
2022-02-02,14129715,ether,ethereum,18,525997.1186877944
2022-02-03,14136138,ether,ethereum,18,527141.062862724
2022-02-04,14142694,ether,ethereum,18,528200.0637677074
2022-02-05,14149081,ether,ethereum,18,529848.7050543242
2022-02-06,14155620,ether,ethereum,18,530372.3413366466
2022-02-07,14162081,ether,ethereum,18,533083.7790595149
2022-02-08,14168511,ether,ethereum,18,544405.1057486618
2022-02-09,14174988,ether,ethereum,18,558423.0285271319
2022-02-10,14181426,ether,ethereum,18,547625.1971689172
2022-02-11,14187946,ether,ethereum,18,549270.5770912821
2022-02-12,14194417,ether,ethereum,18,551644.6484247994
2022-02-13,14200887,ether,ethereum,18,552310.4373901067
2022-02-14,14207338,ether,ethereum,18,552374.0123046323
2022-02-15,14213858,ether,ethereum,18,554244.2939798756
2022-02-16,14220268,ether,ethereum,18,557079.0154421872
2022-02-17,14226744,ether,ethereum,18,558959.8835907078
2022-02-18,14233162,ether,ethereum,18,560440.5369178292
2022-02-19,14239569,ether,ethereum,18,562013.1255035704
2022-02-20,14246087,ether,ethereum,18,563807.8740837629
2022-02-21,14252521,ether,ethereum,18,564854.0870412844
2022-02-22,14258984,ether,ethereum,18,567281.3506940383
2022-02-23,14265471,ether,ethereum,18,568357.6896598137
2022-02-24,14271956,ether,ethereum,18,570756.3729303452
2022-02-25,14278386,ether,ethereum,18,571046.5984839112
2022-02-26,14284846,ether,ethereum,18,572755.0164552382
2022-02-27,14291334,ether,ethereum,18,572989.6257906178
2022-02-28,14297758,ether,ethereum,18,575394.2429304102
2022-03-01,14304253,ether,ethereum,18,573717.6558337121
2022-03-02,14310657,ether,ethereum,18,573474.5219887592
2022-03-03,14317108,ether,ethereum,18,571871.7129603417
2022-03-04,14323604,ether,ethereum,18,572252.4732813415
2022-03-05,14329980,ether,ethereum,18,572222.3852858396
2022-03-06,14336401,ether,ethereum,18,572709.8783105192
2022-03-07,14342847,ether,ethereum,18,574676.6840725369
2022-03-08,14349239,ether,ethereum,18,574218.8267004538
2022-03-09,14355747,ether,ethereum,18,574905.0748733677
2022-03-10,14362227,ether,ethereum,18,575614.008874648
2022-03-11,14368558,ether,ethereum,18,575822.4826783283
2022-03-12,14375067,ether,ethereum,18,575752.9136312386
2022-03-13,14381394,ether,ethereum,18,576021.0907342625
2022-03-14,14387852,ether,ethereum,18,575967.8699792284
2022-03-15,14394257,ether,ethereum,18,575770.8702149877
2022-03-16,14400648,ether,ethereum,18,579977.8492187683
2022-03-17,14407074,ether,ethereum,18,580752.5422927892
2022-03-18,14413492,ether,ethereum,18,576763.50193981
2022-03-19,14419941,ether,ethereum,18,577565.4244304729
2022-03-20,14426367,ether,ethereum,18,577909.4670660098
2022-03-21,14432774,ether,ethereum,18,578409.6202470723
2022-03-22,14439220,ether,ethereum,18,579056.9026035531
2022-03-23,14445660,ether,ethereum,18,578728.4867247794
2022-03-24,14452084,ether,ethereum,18,579407.4045920352
2022-03-25,14458508,ether,ethereum,18,579937.085142721
2022-03-26,14464915,ether,ethereum,18,578959.4316206833
2022-03-27,14471310,ether,ethereum,18,580303.1660019148
2022-03-28,14477773,ether,ethereum,18,581098.07478437
2022-03-29,14484225,ether,ethereum,18,580809.0382907825
2022-03-30,14490619,ether,ethereum,18,582982.8585402988
2022-03-31,14497033,ether,ethereum,18,583959.6062172558
2022-04-01,14503464,ether,ethereum,18,584742.9874820228
2022-04-02,14509821,ether,ethereum,18,586087.9506770945
2022-04-03,14516247,ether,ethereum,18,586636.3851518699
2022-04-04,14522570,ether,ethereum,18,585074.4656317526
2022-04-05,14529006,ether,ethereum,18,585430.5558436377
2022-04-06,14535424,ether,ethereum,18,586098.6033668075
2022-04-07,14541846,ether,ethereum,18,586907.0862447778
2022-04-08,14548184,ether,ethereum,18,592528.7620372492
2022-04-09,14554613,ether,ethereum,18,592743.0043843327
2022-04-10,14561014,ether,ethereum,18,592901.6527466946
2022-04-11,14567461,ether,ethereum,18,594097.8169931694
2022-04-12,14573907,ether,ethereum,18,594873.9925825967
2022-04-13,14580219,ether,ethereum,18,596726.047503142
2022-04-14,14586627,ether,ethereum,18,598649.4738696566
2022-04-15,14593048,ether,ethereum,18,600363.8187738161
2022-04-16,14599452,ether,ethereum,18,602064.888101501
2022-04-17,14605883,ether,ethereum,18,603096.6250757831
2022-04-18,14612233,ether,ethereum,18,603581.0506723328
2022-04-19,14618642,ether,ethereum,18,603672.5368955586
2022-04-20,14625066,ether,ethereum,18,605931.9294947654
2022-04-21,14631356,ether,ethereum,18,607216.1643710098
2022-04-22,14637770,ether,ethereum,18,608327.9122014813
2022-04-23,14644141,ether,ethereum,18,608925.2993969299
2022-04-24,14650514,ether,ethereum,18,610189.562618742
2022-04-25,14656856,ether,ethereum,18,610971.681329448
2022-04-26,14663176,ether,ethereum,18,611481.5261383568
2022-04-27,14669557,ether,ethereum,18,612387.1414516597
2022-04-28,14675905,ether,ethereum,18,613848.2095630228
2022-04-29,14682281,ether,ethereum,18,614708.7427180848
2022-04-30,14688629,ether,ethereum,18,615641.2683180966
2022-05-01,14695010,ether,ethereum,18,616910.8814366177
2022-05-02,14701368,ether,ethereum,18,619459.5639907978
